2026-04-11T12:10:17.465-04:00 [gateway] loading configuration…
2026-04-11T12:10:17.546-04:00 [gateway] resolving authentication…
2026-04-11T12:10:17.616-04:00 [gateway] starting...
2026-04-11T12:10:18.755-04:00 [gateway] starting HTTP server...
2026-04-11T12:10:18.778-04:00 [canvas] host mounted at http://127.0.0.1:18789/__openclaw__/canvas/ (root C:\Users\dal_n\.openclaw\canvas)
2026-04-11T12:10:18.850-04:00 [gateway] MCP loopback server listening on http://127.0.0.1:53097/mcp
2026-04-11T12:10:19.672-04:00 [heartbeat] started
2026-04-11T12:10:19.681-04:00 [health-monitor] started (interval: 300s, startup-grace: 60s, channel-connect-grace: 120s)
2026-04-11T12:10:19.808-04:00 [gateway] agent model: custom-i24d-whatsapp-ai-onrender-com/I24D
2026-04-11T12:10:19.816-04:00 [gateway] ready (1 plugin, 2.2s)
2026-04-11T12:10:19.826-04:00 [gateway] log file: \tmp\openclaw\openclaw-2026-04-11.log
2026-04-11T12:10:19.889-04:00 [gateway] starting channels and sidecars...
2026-04-11T12:10:21.833-04:00 [plugins] [lumina-heartbeat] Starting — interval 30000ms on win32 (DAL_NIJARUQ)
2026-04-11T12:10:21.918-04:00 [ws] webchat connected conn=ae67026c-15b5-401f-bbc9-deff3c33628c remote=127.0.0.1 client=openclaw-control-ui webchat vcontrol-ui
2026-04-11T12:10:26.503-04:00 [ws] ⇄ res ✓ chat.history 1399ms conn=ae67026c…628c id=b2591bc1…6a2b
2026-04-11T12:10:26.519-04:00 [ws] ⇄ res ✓ models.list 1337ms conn=ae67026c…628c id=979b0c96…8fa7
2026-04-11T12:10:26.545-04:00 [ws] ⇄ res ✓ node.list 1455ms conn=ae67026c…628c id=7a620310…54d1
2026-04-11T12:10:26.560-04:00 [ws] ⇄ res ✓ device.pair.list 1460ms conn=ae67026c…628c id=5fbfcaa1…7b24
2026-04-11T12:10:53.334-04:00 [ws] ⇄ res ✓ node.list 263ms conn=ae67026c…628c id=01a0ce01…7c4d
2026-04-11T12:13:03.476-04:00 [ws] ⇄ res ✓ node.list 65ms conn=ae67026c…628c id=8a0bc977…35c1
2026-04-11T12:13:33.460-04:00 [ws] ⇄ res ✓ node.list 122ms conn=ae67026c…628c id=7ce73d36…45cc
